Southwestern Ojibwe,English(raw),Conjugation,English(formatted)
owaapamaassiini,"s/he, they (obv.) do not see him/her, them (obv.)",3'→3'' TA Independent Indicative,they(sing.) do not see them(sing.)
owaapamaassiininaapanen,"s/he, they (obv.) did not see him/her, them (obv.)",3'→3'' TA Independent Preterit,they(plur.) did not see them(sing.)
owaapamaassiininaapanen,"s/he, they (obv.) did not see him/her, them (obv.)",3'→3'' TA Independent Preterit,they(sing.) did not see them(sing.)
owaapamaassiinini,"s/he, they (obv.) do not see him/her, them (obv.)",3'→3'' TA Independent Indicative,they(plur.) do not see them(sing.)
owaapamaassiinini,"s/he, they (obv.) do not see him/her, them (obv.)",3'→3'' TA Independent Indicative,they(sing.) do not see them(sing.)
owaapamaassiipanen,"s/he did not see him/her, them (obv.)",3s→3' TA Independent Preterit,they(sing.) did not see them(sing.)
owaapamaassiitokenan,"s/he must not be seeing him/her, them (obv.)",3s→3' TA Independent Dubitative,they(sing.) must not be seeing them(sing.)
owaapamaassiwaawaan,"they (anim.) do not see him/her, them (obv.)",3p→3' TA Independent Indicative,they(plur.) do not see them(sing.)
owaapamaassiwaawaatokenan,"they (anim.) must not be seeing him/her, them (obv.)",3p→3' TA Independent Dubitative,they(plur.) must not be seeing them(sing.)
owaapamaatokenan,"s/he must be seeing him/her, them (obv.)",3s→3' TA Independent Dubitative,they(sing.) must be seeing them(sing.)
owaapamaawaan,"they (anim.) see him/her, them (obv.)",3p→3' TA Independent Indicative,they(plur.) see them(sing.)
owaapamaawaapanen,"they (anim.) saw him/her, them (obv.)",3p→3' TA Independent Preterit,they(plur.) saw them(sing.)
owaapamaawaatokenan,"they (anim.) must be seeing him/her, them (obv.)",3p→3' TA Independent Dubitative,they(plur.) must be seeing them(sing.)
owaapantamini,"s/he, they (obv.) see it, them (obv.)",3'→0 TI1 Independent Indicative,they(plur.) see it
owaapantamini,"s/he, they (obv.) see it, them (obv.)",3'→0 TI1 Independent Indicative,they(sing.) see it
owaapantansiinini,"s/he, they (obv.) do not see it, them (inan.)",3'→0 TI1 Independent Indicative,they(plur.) do not see it
owaapantansiinini,"s/he, they (obv.) do not see it, them (inan.)",3'→0 TI1 Independent Indicative,they(sing.) do not see it
owaapamikoni,"it, they (inan.) see him/her, them (obv.)",0→3' TA Independent Indicative,they(plur.) see them(sing.)
owaapamikoni,"it, they (inan.) see him/her, them (obv.)",0→3' TA Independent Indicative,FLAGit see them(sing.)
onoontaakoni,"it, they (inan.) hear him/her, them (obv.)",0→3' TA Independent Indicative,they(plur.) hear them(sing.)
onoontaakoni,"it, they (inan.) hear him/her, them (obv.)",0→3' TA Independent Indicative,FLAGit hear them(sing.)
ompakkitte'okoni,"it, they (inan.) hit him/her, them (obv.)",0→3' TA Independent Indicative,they(plur.) hit them(sing.)
ompakkitte'okoni,"it, they (inan.) hit him/her, them (obv.)",0→3' TA Independent Indicative,FLAGit hit them(sing.)
owaapamikoninaapan,"it saw him/her, them (obv.)",0s→3' TA Independent Preterit,it saw them(sing.)
onoontaakoninaapan,"it heard him/her, them (obv.)",0s→3' TA Independent Preterit,it heard them(sing.)
ompakkitte'okoninaapan,"it hit him/her, them (obv.)",0s→3' TA Independent Preterit,it hit them(sing.)
owaapamikoninaapanen,"they (inan.) saw him/her, them (obv.)",0p→3' TA Independent Preterit,they(plur.) saw them(sing.)
onoontaakoninaapanen,"they (inan.) heard him/her, them (obv.)",0p→3' TA Independent Preterit,they(plur.) heard them(sing.)
ompakkitte'okoninaapanen,"they (inan.) hit him/her, them (obv.)",0p→3' TA Independent Preterit,they(plur.) hit them(sing.)
owaapamikoninaatok,"it must be seeing him/her, them (obv.)",0s→3' TA Independent Dubitative,it must be seeing them(sing.)
onoontaakoninaatok,"it must be hearing him/her, them (obv.)",0s→3' TA Independent Dubitative,it must be hearing them(sing.)
ompakkitte'okoninaatok,"it must be hitting him/her, them (obv.)",0s→3' TA Independent Dubitative,it must be hitting them(sing.)
owaapamikoninaatokenan,"they (inan.) must be seeing him/her, them (obv.)",0p→3' TA Independent Dubitative,they(plur.) must be seeing them(sing.)
onoontaakoninaatokenan,"they (inan.) must be hearing him/her, them (obv.)",0p→3' TA Independent Dubitative,they(plur.) must be hearing them(sing.)
ompakkitte'okoninaatokenan,"they (inan.) must be hitting him/her, them (obv.)",0p→3' TA Independent Dubitative,they(plur.) must be hitting them(sing.)
owaapamikonini,"it, they (inan.) see him/her, them (obv.)",0→3' TA Independent Indicative,they(plur.) see them(sing.)
owaapamikonini,"it, they (inan.) see him/her, them (obv.)",0→3' TA Independent Indicative,FLAGit see them(sing.)
onoontaakonini,"it, they (inan.) hear him/her, them (obv.)",0→3' TA Independent Indicative,they(plur.) hear them(sing.)
onoontaakonini,"it, they (inan.) hear him/her, them (obv.)",0→3' TA Independent Indicative,FLAGit hear them(sing.)
ompakkitte'okonini,"it, they (inan.) hit him/her, them (obv.)",0→3' TA Independent Indicative,they(plur.) hit them(sing.)
ompakkitte'okonini,"it, they (inan.) hit him/her, them (obv.)",0→3' TA Independent Indicative,FLAGit hit them(sing.)
owaapamikossiininaapan,"it did not see him/her, them (obv.)",0s→3' TA Independent Preterit,it did not see them(sing.)
owaapamikossiininaapanen,"they (inan.) did not see him/her, them (obv.)",0p→3' TA Independent Preterit,they(plur.) did not see them(sing.)
owaapamikossiininaatok,"it must not be seeing him/her, them (obv.)",0s→3' TA Independent Dubitative,it must not be seeing them(sing.)
owaapamikossiininaatokenan,"they (inan.) must not be seeing him/her, them (obv.)",0p→3' TA Independent Dubitative,they(plur.) must not be seeing them(sing.)
owaapamikossiinini,"it, they (inan.) do not see him/her, them (obv.)",0→3' TA Independent Indicative,they(plur.) do not see them(sing.)
owaapamikossiinini,"it, they (inan.) do not see him/her, them (obv.)",0→3' TA Independent Indicative,FLAGit do not see them(sing.)
omiicini,"s/he, they (obv.) eat it, them (inan.)",3'→0 TI3 Independent Indicative,they(plur.) eat it
omiicini,"s/he, they (obv.) eat it, them (inan.)",3'→0 TI3 Independent Indicative,they(sing.) eat it
omiicinini,"s/he, they (obv.) eat it, them (inan.)",3'→0 TI3 Independent Indicative,they(plur.) eat it
omiicinini,"s/he, they (obv.) eat it, them (inan.)",3'→0 TI3 Independent Indicative,they(sing.) eat it
owanittooni,"s/he, they (obv.) lose it, them (inan.)",3'→0 TI2 Independent Indicative,they(plur.) lose it
owanittooni,"s/he, they (obv.) lose it, them (inan.)",3'→0 TI2 Independent Indicative,they(sing.) lose it
owanittoonini,"s/he, they (anim.) lose it, them (inan.)",3'→0 TI2 Independent Indicative,they(plur.) lose it
owanittoonini,"s/he, they (anim.) lose it, them (inan.)",3'→0 TI2 Independent Indicative,they(sing.) lose it
owanittoossiinini,"s/he, they (obv.) do not lose it, them (inan.)",3'→0 TI2 Independent Indicative,they(plur.) do not lose it
owanittoossiinini,"s/he, they (obv.) do not lose it, them (inan.)",3'→0 TI2 Independent Indicative,they(sing.) do not lose it
omiicissiinini,"s/he, they (obv.) do not eat it, them (inan.)",3'→0 TI3 Independent Indicative,they(plur.) do not eat it
omiicissiinini,"s/he, they (obv.) do not eat it, them (inan.)",3'→0 TI3 Independent Indicative,they(sing.) do not eat it
