No,Southwestern Ojibwe,English(raw),Conjugation,English(formatted)
1925,wanittooyaank,"we (excl.) lose it, them (inan.)",1p→0 TI2 Conjunct Indicative,we lose it
1926,wanittooyaank,"we (excl.) lose it, them (inan.)",1p→0 TI2 Conjunct Indicative,we lose them(plur.)
1927,wanittooyaankipan,"we (excl.) lost it, them (inan.)",1p→0 TI2 Conjunct Preterit,we lost it
1928,wanittooyaankipan,"we (excl.) lost it, them (inan.)",1p→0 TI2 Conjunct Preterit,we lost them(plur.)
1929,wanittooyampan,"you (sg.) lost it, them (inan.)",2s→0 TI2 Conjunct Preterit,you lost it
1930,wanittooyampan,"you (sg.) lost it, them (inan.)",2s→0 TI2 Conjunct Preterit,you lost them(plur.)
1931,wanittooyan,"you (sg.) lose it, them (inan.)",2s→0 TI2 Conjunct Indicative,you lose it
1932,wanittooyan,"you (sg.) lose it, them (inan.)",2s→0 TI2 Conjunct Indicative,you lose them(plur.)
1933,wanittooyank,"we (incl.) lose it, them (inan.)",21→0 TI2 Conjunct Indicative,we lose it
1934,wanittooyank,"we (incl.) lose it, them (inan.)",21→0 TI2 Conjunct Indicative,we lose them(plur.)
1935,wanittooyankipan,"we (incl.) lost it, them (inan.)",21→0 TI2 Conjunct Preterit,we lost it
1936,wanittooyankipan,"we (incl.) lost it, them (inan.)",21→0 TI2 Conjunct Preterit,we lost them(plur.)
1937,wanittooyek,"you (pl.) lose it, them (inan.)",2p→0 TI2 Conjunct Indicative,you lose it
1938,wanittooyek,"you (pl.) lose it, them (inan.)",2p→0 TI2 Conjunct Indicative,you lose them(plur.)
1939,wanittooyekipan,"you (pl.) lost it, them (inan.)",2p→0 TI2 Conjunct Preterit,you lost it
1940,wanittooyekipan,"you (pl.) lost it, them (inan.)",2p→0 TI2 Conjunct Preterit,you lost them(plur.)
1941,miccaapan,it was big,0s II Independent Preterit,it was big
1942,sanakatoopan,it was difficult,0s II Independent Preterit,it was difficult
1943,pankissinoopan,it fell,0s II Independent Preterit,it fell
1944,miccaapanen,they (inan.) were big,0p II Independent Preterit,they(plur.) were big
1945,sanakatoopanen,they (inan.) were difficult,0p II Independent Preterit,they(plur.) were difficult
1946,pankissinoopanen,they (inan.) fell,0p II Independent Preterit,they(plur.) fell
1947,miicippan,"s/he ate it, them (inan.)",3s→0 TI3 Conjunct Preterit,they(sing.) ate it
1948,miicippan,"s/he ate it, them (inan.)",3s→0 TI3 Conjunct Preterit,they(sing.) ate them(plur.)
1949,maacaappan,s/he left,3s AI Conjunct Preterit,they(sing.) left
1950,waniššinkipan,s/he were lost,3s AI Conjunct Preterit,they(sing.) were lost
1951,miicissiinikopan,"s/he, they (obv.) must not have ate it, them (inan.)",3'→0 TI3 Independent Dubitative Preterit,they(plur.) must not have ate it
1952,miicissiinikopan,"s/he, they (obv.) must not have ate it, them (inan.)",3'→0 TI3 Independent Dubitative Preterit,they(plur.) must not have ate them(plur.)
1953,miicissiinikopan,"s/he, they (obv.) must not have ate it, them (inan.)",3'→0 TI3 Independent Dubitative Preterit,they(sing.) must not have ate it
1954,miicissiinikopan,"s/he, they (obv.) must not have ate it, them (inan.)",3'→0 TI3 Independent Dubitative Preterit,they(sing.) must not have ate them(plur.)
1955,miicissiikopan,"s/he must not have ate it, them (inan.)",3s→0 TI3 Independent Dubitative Preterit,they(sing.) must not have ate it
1956,miicissiikopan,"s/he must not have ate it, them (inan.)",3s→0 TI3 Independent Dubitative Preterit,they(sing.) must not have ate them(plur.)
1957,maacaassiikopan,s/he must not have left,3s AI Independent Dubitative Preterit,they(sing.) must not have left
1958,waniššinsiikopan,s/he must not have been lost,3s AI Independent Dubitative Preterit,they(sing.) must not have been lost
1959,miicissiikopanen,"s/he must not have ate it, them (inan.)",3s→0 TI3 Conjunct Dubitative Preterit,they(sing.) must not have ate it
1960,miicissiikopanen,"s/he must not have ate it, them (inan.)",3s→0 TI3 Conjunct Dubitative Preterit,they(sing.) must not have ate them(plur.)
1961,maacaassiikopanen,s/he must not have left,3s AI Conjunct Dubitative Preterit,they(sing.) must not have left
1962,waniššinsiikopanen,s/he must not have been lost,3s AI Conjunct Dubitative Preterit,they(sing.) must not have been lost
1963,miicissiikwaapan,"they (anim.) must not have ate it, them (inan.)",3p→0 TI3 Independent Dubitative Preterit,they(plur.) must not have ate it
1964,miicissiikwaapan,"they (anim.) must not have ate it, them (inan.)",3p→0 TI3 Independent Dubitative Preterit,they(plur.) must not have ate them(plur.)
1965,maacaassiikwaapan,they (anim.) must not have left,3p AI Independent Dubitative Preterit,they(plur.) must not have left
1966,waniššinsiikwaapan,they (anim.) must not have been lost,3p AI Independent Dubitative Preterit,they(plur.) must not have been lost
1967,maacissiikwen,"s/he must not be eating it, them (inan.)",3s→0 TI3 Conjunct Dubitative,they(sing.) must not be eating it
1968,maacissiikwen,"s/he must not be eating it, them (inan.)",3s→0 TI3 Conjunct Dubitative,they(sing.) must not be eating them(plur.)
1969,mayaacaassiikwen,s/he must not be leaving,3s AI Conjunct Dubitative,they(sing.) must not be leaving
1970,weniššinsiikwen,s/he must not be lost,3s AI Conjunct Dubitative,they(sing.) must not be lost
1971,maacaassiim,people do not leave,X AI Independent Indicative,people do not leave
1972,niimissiim,people do not dance,X AI Independent Indicative,people do not dance
1973,waniššinsiim,people are not lost,X AI Independent Indicative,people are not lost
1974,maacaassiimwaapan,people did not leave,X AI Independent Preterit,people did not leave
1975,waniššinsiimwaapan,people were not lost,X AI Independent Preterit,people were not lost
1976,maacaassiin,s/he does not leave,3s AI Independent Indicative,they(sing.) do not leave
1977,niimissiin,s/he does not dance,3s AI Independent Indicative,they(sing.) do not dance
1978,waniššinsiin,s/he is not lost,3s AI Independent Indicative,they(sing.) are not lost
1979,maacaassiinikopan,"s/he, they (obv.) must not have left",3' AI Independent Dubitative Preterit,they(plur.) must not have left
1980,maacaassiinikopan,"s/he, they (obv.) must not have left",3' AI Independent Dubitative Preterit,they(sing.) must not have left
1981,waniššinsiinikopan,"s/he, they (obv.) must not have been lost",3' AI Independent Dubitative Preterit,they(plur.) must not have been lost
1982,waniššinsiinikopan,"s/he, they (obv.) must not have been lost",3' AI Independent Dubitative Preterit,they(sing.) must not have been lost
1983,miicissiinikopanen,"s/he, they (obv.) must not have ate it, them (inan.)",3'→0 TI3 Conjunct Dubitative Preterit,they(plur.) must not have ate it
1984,miicissiinikopanen,"s/he, they (obv.) must not have ate it, them (inan.)",3'→0 TI3 Conjunct Dubitative Preterit,they(plur.) must not have ate them(plur.)
1985,miicissiinikopanen,"s/he, they (obv.) must not have ate it, them (inan.)",3'→0 TI3 Conjunct Dubitative Preterit,they(sing.) must not have ate it
1986,miicissiinikopanen,"s/he, they (obv.) must not have ate it, them (inan.)",3'→0 TI3 Conjunct Dubitative Preterit,they(sing.) must not have ate them(plur.)
1987,maacaassiinikopanen,"s/he, they (obv.) must not have left",3' AI Conjunct Dubitative Preterit,they(plur.) must not have left
1988,maacaassiinikopanen,"s/he, they (obv.) must not have left",3' AI Conjunct Dubitative Preterit,they(sing.) must not have left
1989,waniššinsiinikopanen,"s/he, they (obv.) must not have been lost",3' AI Conjunct Dubitative Preterit,they(plur.) must not have been lost
1990,waniššinsiinikopanen,"s/he, they (obv.) must not have been lost",3' AI Conjunct Dubitative Preterit,they(sing.) must not have been lost
1991,maacissiinikwen,"s/he, they (obv.) must not be eating it, them (inan.)",3'→0 TI3 Conjunct Dubitative,they(plur.) must not be eating it
1992,maacissiinikwen,"s/he, they (obv.) must not be eating it, them (inan.)",3'→0 TI3 Conjunct Dubitative,they(plur.) must not be eating them(plur.)
1993,maacissiinikwen,"s/he, they (obv.) must not be eating it, them (inan.)",3'→0 TI3 Conjunct Dubitative,they(sing.) must not be eating it
1994,maacissiinikwen,"s/he, they (obv.) must not be eating it, them (inan.)",3'→0 TI3 Conjunct Dubitative,they(sing.) must not be eating them(plur.)
1995,mayaacaassiinikwen,"s/he, they (obv.) must not be leaving",3' AI Conjunct Dubitative,they(plur.) must not be leaving
1996,mayaacaassiinikwen,"s/he, they (obv.) must not be leaving",3' AI Conjunct Dubitative,they(sing.) must not be leaving
1997,weniššinsiinikwen,"s/he, they (obv.) must not be lost",3' AI Conjunct Dubitative,they(plur.) must not be lost
1998,weniššinsiinikwen,"s/he, they (obv.) must not be lost",3' AI Conjunct Dubitative,they(sing.) must not be lost
1999,maacaassiipan,s/he did not leave,3s AI Independent Preterit,they(sing.) did not leave
2000,waniššinsiipan,s/he was not lost,3s AI Independent Preterit,they(sing.) was not lost
2001,maacaassiipanek,they (anim.) did not leave,3p AI Independent Preterit,they(plur.) did not leave
2002,waniššinsiipanek,they (anim.) were not lost,3p AI Independent Preterit,they(plur.) were not lost
2003,maacaassiipanen,"s/he, they (obv.) did not leave",3' AI Independent Preterit,they(plur.) did not leave
2004,maacaassiipanen,"s/he, they (obv.) did not leave",3' AI Independent Preterit,they(sing.) did not leave
2005,waniššinsiipanen,"s/he, they (obv.) was/were not lost",3' AI Independent Preterit,they(plur.) were not lost
2006,waniššinsiipanen,"s/he, they (obv.) was/were not lost",3' AI Independent Preterit,they(sing.) were not lost
2007,miicissiiwaakopanen,"they (anim.) must not have ate it, them (inan.)",3p→0 TI3 Conjunct Dubitative Preterit,they(plur.) must not have ate it
2008,miicissiiwaakopanen,"they (anim.) must not have ate it, them (inan.)",3p→0 TI3 Conjunct Dubitative Preterit,they(plur.) must not have ate them(plur.)
2009,maacaassiiwaakopanen,they (anim.) must not have left,3p AI Conjunct Dubitative Preterit,they(plur.) must not have left
2010,waniššinsiiwaakopanen,they (anim.) must not have been lost,3p AI Conjunct Dubitative Preterit,they(plur.) must not have been lost
2011,maacissiiwaakwen,"they (anim.) must not be eating it, them (inan.)",3p→0 TI3 Conjunct Dubitative,they(plur.) must not be eating it
2012,maacissiiwaakwen,"they (anim.) must not be eating it, them (inan.)",3p→0 TI3 Conjunct Dubitative,they(plur.) must not be eating them(plur.)
2013,mayaacaassiiwaakwen,they (anim.) must not be leaving,3p AI Conjunct Dubitative,they(plur.) must not be leaving
2014,weniššinsiiwaakwen,they (anim.) must not be lost,3p AI Conjunct Dubitative,they(plur.) must not be lost
2015,miicissiiwaampaanen,"I must not have ate it, them (inan.)",1s→0 TI3 Conjunct Dubitative Preterit,I must not have ate it
2016,miicissiiwaampaanen,"I must not have ate it, them (inan.)",1s→0 TI3 Conjunct Dubitative Preterit,I must not have ate them(plur.)
2017,maacaassiiwaampaanen,I must not have left,1s AI Conjunct Dubitative Preterit,I must not have left
2018,waniššinsiiwaampaanen,I must not have been lost,1s AI Conjunct Dubitative Preterit,I must not have been lost
2019,maacissiiwaanen,"I must not be eating it, them (inan.)",1s→0 TI3 Conjunct Dubitative,I must not be eating it
2020,maacissiiwaanen,"I must not be eating it, them (inan.)",1s→0 TI3 Conjunct Dubitative,I must not be eating them(plur.)
2021,mayaacaassiiwaanen,I must not be leaving,1s AI Conjunct Dubitative,I must not be leaving
2022,weniššinsiiwaanen,I must not be lost,1s AI Conjunct Dubitative,I must not be lost
2023,maacissiiwaanken,"we (excl.) must not be eating it, them (inan.)",1p→0 TI3 Conjunct Dubitative,we must not be eating it
2024,maacissiiwaanken,"we (excl.) must not be eating it, them (inan.)",1p→0 TI3 Conjunct Dubitative,we must not be eating them(plur.)
2025,mayaacaassiiwaanken,we (excl.) must not be leaving,1p AI Conjunct Dubitative,we must not be leaving
2026,weniššinsiiwaanken,we (excl.) must not be lost,1p AI Conjunct Dubitative,we must not be lost
2027,miicissiiwaankipanen,"we (excl.) must not have ate it, them (inan.)",1p→0 TI3 Conjunct Dubitative Preterit,we must not have ate it
2028,miicissiiwaankipanen,"we (excl.) must not have ate it, them (inan.)",1p→0 TI3 Conjunct Dubitative Preterit,we must not have ate them(plur.)
2029,maacaassiiwaankipanen,we (excl.) must not have left,1p AI Conjunct Dubitative Preterit,we must not have left
2030,waniššinsiiwaankipanen,we (excl.) must not have been lost,1p AI Conjunct Dubitative Preterit,we must not have been lost
2031,maacaassiiwak,they (anim.) do not leave,3p AI Independent Indicative,they(plur.) do not leave
2032,niimissiiwak,they (anim.) do not dance,3p AI Independent Indicative,they(plur.) do not dance
2033,waniššinsiiwak,they (anim.) are not lost,3p AI Independent Indicative,they(plur.) are not lost
2034,miicissiiwampanen,"you (sg.) must not have ate it, them (inan.)",2s→0 TI3 Conjunct Dubitative Preterit,you must not have ate it
2035,miicissiiwampanen,"you (sg.) must not have ate it, them (inan.)",2s→0 TI3 Conjunct Dubitative Preterit,you must not have ate them(plur.)
2036,maacaassiiwampanen,you (sg.) must not have left,2s AI Conjunct Dubitative Preterit,you must not have left
2037,waniššinsiiwampanen,you (sg.) must not have been lost,2s AI Conjunct Dubitative Preterit,you must not have been lost
2038,maacaassiiwan,"s/he, they (obv.) leave(s)",3' AI Independent Indicative,they(plur.) leav
2039,maacaassiiwan,"s/he, they (obv.) leave(s)",3' AI Independent Indicative,they(sing.) leav
2040,niimissiiwan,"s/he, they (obv.) dance(s)",3' AI Independent Indicative,they(plur.) danc
2041,niimissiiwan,"s/he, they (obv.) dance(s)",3' AI Independent Indicative,they(sing.) danc
2042,waniššinsiiwan,"s/he, they (obv.) is/are not lost",3' AI Independent Indicative,they(plur.) are not lost
2043,waniššinsiiwan,"s/he, they (obv.) is/are not lost",3' AI Independent Indicative,they(sing.) are not lost
2044,maacissiiwanen,"you (sg.) must not be eating it, them (inan.)",2s→0 TI3 Conjunct Dubitative,you must not be eating it
2045,maacissiiwanen,"you (sg.) must not be eating it, them (inan.)",2s→0 TI3 Conjunct Dubitative,you must not be eating them(plur.)
2046,mayaacaassiiwanen,you (sg.) must not be leaving,2s AI Conjunct Dubitative,you must not be leaving
2047,weniššinsiiwanen,you (sg.) must not be lost,2s AI Conjunct Dubitative,you must not be lost
2048,maacissiiwanken,"we (incl.) must not be eating it, them (inan.)",21→0 TI3 Conjunct Dubitative,we must not be eating it
2049,maacissiiwanken,"we (incl.) must not be eating it, them (inan.)",21→0 TI3 Conjunct Dubitative,we must not be eating them(plur.)
2050,mayaacaassiiwanken,we (incl.) must not be leaving,21 AI Conjunct Dubitative,we must not be leaving
2051,weniššinsiiwanken,we (incl.) must not be lost,21 AI Conjunct Dubitative,we must not be lost
2052,miicissiiwankipanen,"we (incl.) must not have ate it, them (inan.)",21→0 TI3 Conjunct Dubitative Preterit,we must not have ate it
2053,miicissiiwankipanen,"we (incl.) must not have ate it, them (inan.)",21→0 TI3 Conjunct Dubitative Preterit,we must not have ate them(plur.)
2054,maacaassiiwankipanen,we (incl.) must not have left,21 AI Conjunct Dubitative Preterit,we must not have left
2055,waniššinsiiwankipanen,we (incl.) must not have been lost,21 AI Conjunct Dubitative Preterit,we must not have been lost
2056,miicissiiwekipanen,"you (pl.) must not have ate it, them (inan.)",2p→0 TI3 Conjunct Dubitative Preterit,you must not have ate it
2057,miicissiiwekipanen,"you (pl.) must not have ate it, them (inan.)",2p→0 TI3 Conjunct Dubitative Preterit,you must not have ate them(plur.)
2058,maacaassiiwekipanen,you (pl.) must not have left,2p AI Conjunct Dubitative Preterit,you must not have left
2059,waniššinsiiwekipanen,you (pl.) must not have been lost,2p AI Conjunct Dubitative Preterit,you must not have been lost
2060,maacissiiwekwen,"you (pl.) must not be eating it, them (inan.)",2p→0 TI3 Conjunct Dubitative,you must not be eating it
2061,maacissiiwekwen,"you (pl.) must not be eating it, them (inan.)",2p→0 TI3 Conjunct Dubitative,you must not be eating them(plur.)
2062,mayaacaassiiwekwen,you (pl.) must not be leaving,2p AI Conjunct Dubitative,you must not be leaving
2063,weniššinsiiwekwen,you (pl.) must not be lost,2p AI Conjunct Dubitative,you must not be lost
2064,mayaacaassiiwiinken,people must not be leaving,X AI Conjunct Dubitative,people must not be leaving
2065,weniššinsiiwiinken,people must not be lost,X AI Conjunct Dubitative,people must not be lost
2066,maacaassiiwiinkipanen,people must not have left,X AI Conjunct Dubitative Preterit,people must not have left
2067,waniššinsiiwiinkipanen,people must not have been lost,X AI Conjunct Dubitative Preterit,people must not have been lost
2068,miicissik,"s/he does not eat it, them (inan.)",3s→0 TI3 Conjunct Indicative,they(sing.) do not eat it
2069,miicissik,"s/he does not eat it, them (inan.)",3s→0 TI3 Conjunct Indicative,they(sing.) do not eat them(plur.)
2070,maacaassik,s/he does not leave,3s AI Conjunct Indicative,they(sing.) do not leave
2071,waniššinsik,s/he is not lost,3s AI Conjunct Indicative,they(sing.) are not lost
2072,miicissikopan,"s/he did not eat it, them (inan.)",3s→0 TI3 Conjunct Preterit,they(sing.) did not eat it
2073,miicissikopan,"s/he did not eat it, them (inan.)",3s→0 TI3 Conjunct Preterit,they(sing.) did not eat them(plur.)
2074,maacaassikopan,s/he did not leave,3s AI Conjunct Preterit,they(sing.) did not leave
2075,waniššinsikopan,s/he was not lost,3s AI Conjunct Preterit,they(sing.) was not lost
2076,miicissikwaa,"they (anim.) do not eat it, them (inan.)",3p→0 TI3 Conjunct Indicative,they(plur.) do not eat it
2077,miicissikwaa,"they (anim.) do not eat it, them (inan.)",3p→0 TI3 Conjunct Indicative,they(plur.) do not eat them(plur.)
2078,maacaassikwaa,they (anim.) do not leave,3p AI Conjunct Indicative,they(plur.) do not leave
2079,waniššinsikwaa,they (anim.) are not lost,3p AI Conjunct Indicative,they(plur.) are not lost
2080,miicissikwaapan,"they (anim.) did not eat it, them (inan.)",3p→0 TI3 Conjunct Preterit,they(plur.) did not eat it
2081,miicissikwaapan,"they (anim.) did not eat it, them (inan.)",3p→0 TI3 Conjunct Preterit,they(plur.) did not eat them(plur.)
2082,maacaassikwaapan,they (anim.) did not leave,3p AI Conjunct Preterit,they(plur.) did not leave
2083,waniššinsikwaapan,they (anim.) were not lost,3p AI Conjunct Preterit,they(plur.) were not lost
2084,maacaassinik,"s/he, they (obv.) do not leave",3' AI Conjunct Indicative,they(plur.) do not leave
2085,maacaassinik,"s/he, they (obv.) do not leave",3' AI Conjunct Indicative,they(sing.) do not leave
2086,waniššinsinik,"s/he, they (obv.) are not lost",3' AI Conjunct Indicative,they(plur.) are not lost
2087,waniššinsinik,"s/he, they (obv.) are not lost",3' AI Conjunct Indicative,they(sing.) are not lost
2088,maacaassinikopan,"s/he, they (obv.) did not leave",3' AI Conjunct Preterit,they(plur.) did not leave
2089,maacaassinikopan,"s/he, they (obv.) did not leave",3' AI Conjunct Preterit,they(sing.) did not leave
2090,waniššinsinikopan,"s/he, they (obv.) were not lost",3' AI Conjunct Preterit,they(plur.) were not lost
2091,waniššinsinikopan,"s/he, they (obv.) were not lost",3' AI Conjunct Preterit,they(sing.) were not lost
2092,miccaassinini,it (obv.) is not big,0's II Independent Indicative,it is not big
2093,sanakassinini,it (obv.) is not difficult,0's II Independent Indicative,it is not difficult
2094,pankissinsinini,it (obv.) does not fall,0's II Independent Indicative,it does not fall
2095,meccaassininiikwen,"it, they (obv.) must not be big",0' II Conjunct Dubitative,they(plur.) must not be big
2096,meccaassininiikwen,"it, they (obv.) must not be big",0' II Conjunct Dubitative,it must not be big
2097,senakassininiikwen,"it, they (obv.) must not be difficult",0' II Conjunct Dubitative,they(plur.) must not be difficult
2098,senakassininiikwen,"it, they (obv.) must not be difficult",0' II Conjunct Dubitative,it must not be difficult
2099,penkissinsininiikwen,"it, they (obv.) must not be falling",0' II Conjunct Dubitative,they(plur.) must not be falling
2100,penkissinsininiikwen,"it, they (obv.) must not be falling",0' II Conjunct Dubitative,it must not be falling
2101,miccaassininiipan,it (obv.) was not big,0's II Independent Preterit,it was not big
2102,sanakassininiipan,it (obv.) was not difficult,0's II Independent Preterit,it was not difficult
2103,pankissinsininiipan,it (obv.) did not fall,0's II Independent Preterit,it did not fall
2104,miccaassininiipanen,"they (inan.,obv.) were not big",0'p II Independent Preterit,they(plur.) were not big
2105,sanakassininiipanen,"they (inan.,obv.) were not difficult",0'p II Independent Preterit,they(plur.) were not difficult
2106,pankissinsininiipanen,"they (inan.,obv.) did not fall",0'p II Independent Preterit,they(plur.) did not fall
2107,miccaassininik,"it, they (obv.) is not big",0' II Conjunct Indicative,they(plur.) are not big
2108,miccaassininik,"it, they (obv.) is not big",0' II Conjunct Indicative,it is not big
2109,sanakassininik,"it, they (obv.) is not difficult",0' II Conjunct Indicative,they(plur.) are not difficult
2110,sanakassininik,"it, they (obv.) is not difficult",0' II Conjunct Indicative,it is not difficult
2111,pankissinsininik,"it, they (obv.) does not fall",0' II Conjunct Indicative,they(plur.) do not fall
2112,pankissinsininik,"it, they (obv.) does not fall",0' II Conjunct Indicative,it does not fall
2113,miccaassininikipan,"it, they (obv.) was not big",0' II Conjunct Preterit,they(plur.) were not big
2114,miccaassininikipan,"it, they (obv.) was not big",0' II Conjunct Preterit,it was not big
2115,sanakassininikipan,"it, they (obv.) was not difficult",0' II Conjunct Preterit,they(plur.) were not difficult
2116,sanakassininikipan,"it, they (obv.) was not difficult",0' II Conjunct Preterit,it was not difficult
2117,pankissinsininikipan,"it, they (obv.) did not fall",0' II Conjunct Preterit,they(plur.) did not fall
2118,pankissinsininikipan,"it, they (obv.) did not fall",0' II Conjunct Preterit,it did not fall
2119,miccaassininikopan,it (obv.) must not have been big,0's II Independent Dubitative Preterit,it must not have been big
2120,sanakassininikopan,it (obv.) must not have been difficult,0's II Independent Dubitative Preterit,it must not have been difficult
2121,pankissinsininikopan,it (obv.) must not have fallen,0's II Independent Dubitative Preterit,it must not have fallen
2122,miccaassininiwan,"they (inan.,obv.) are not big",0'p II Independent Indicative,they(plur.) are not big
2123,sanakassininiwan,"they (inan.,obv.) are not difficult",0'p II Independent Indicative,they(plur.) are not difficult
2124,pankissinsininiwan,"they (inan.,obv.) do not fall",0'p II Independent Indicative,they(plur.) do not fall
2125,miccaassininiwitok,it (obv.) must not be big,0's II Independent Dubitative,it must not be big
2126,sanakassininiwitok,it (obv.) must not be difficult,0's II Independent Dubitative,it must not be difficult
2127,pankissinsininiwitok,it (obv.) must not be falling,0's II Independent Dubitative,it must not be falling
2128,miccaassininiwitokenan,"they (inan.,obv.) must not be big",0'p II Independent Dubitative,they(plur.) must not be big
2129,sanakassininiwitokenan,"they (inan.,obv.) must not be difficult",0'p II Independent Dubitative,they(plur.) must not be difficult
2130,pankissinsininiwitokenan,"they (inan.,obv.) must not be falling",0'p II Independent Dubitative,they(plur.) must not be falling
2131,miicissinippan,"s/he, they (obv.) did not eat it, them (inan.)",3'→0 TI3 Conjunct Preterit,they(plur.) did not eat it
2132,miicissinippan,"s/he, they (obv.) did not eat it, them (inan.)",3'→0 TI3 Conjunct Preterit,they(plur.) did not eat them(plur.)
2133,miicissinippan,"s/he, they (obv.) did not eat it, them (inan.)",3'→0 TI3 Conjunct Preterit,they(sing.) did not eat it
2134,miicissinippan,"s/he, they (obv.) did not eat it, them (inan.)",3'→0 TI3 Conjunct Preterit,they(sing.) did not eat them(plur.)
2135,miicissinit,"s/he, they (obv.) do not eat it, them (inan.)",3'→0 TI3 Conjunct Indicative,they(plur.) do not eat it
2136,miicissinit,"s/he, they (obv.) do not eat it, them (inan.)",3'→0 TI3 Conjunct Indicative,they(plur.) do not eat them(plur.)
2137,miicissinit,"s/he, they (obv.) do not eat it, them (inan.)",3'→0 TI3 Conjunct Indicative,they(sing.) do not eat it
2138,miicissinit,"s/he, they (obv.) do not eat it, them (inan.)",3'→0 TI3 Conjunct Indicative,they(sing.) do not eat them(plur.)
2139,maacaassink,people do not leave,X AI Conjunct Indicative,people do not leave
2140,waniššinsinink,people are not lost,X AI Conjunct Indicative,people are not lost
2141,maacaassinkipan,people did not leave,X AI Conjunct Preterit,people did not leave
2142,waniššinsinkipan,people were not lost,X AI Conjunct Preterit,people were not lost
2143,miccaassinok,it is not big,0 II Conjunct Indicative,it is not big
2144,sanakassinok,it is not difficult,0 II Conjunct Indicative,it is not difficult
2145,pankissinsinok,it does not fall,0 II Conjunct Indicative,it does not fall
2146,miccaassinookipan,it was not big,0s II Conjunct Preterit,it was not big
2147,sanakassinookipan,it was not difficult,0s II Conjunct Preterit,it was not difficult
2148,pankissinsinookipan,it did not fall,0s II Conjunct Preterit,it did not fall
2149,miccaassinookopan,it must not have been big,0s II Independent Dubitative Preterit,it must not have been big
2150,sanakassinookopan,it must not have been difficult,0s II Independent Dubitative Preterit,it must not have been difficult
2151,pankissinsinookopan,it must not have fallen,0s II Independent Dubitative Preterit,it must not have fallen
2152,miccaassinookopanen,it must not have been big,0s II Conjunct Dubitative Preterit,it must not have been big
2153,sanakassinookopanen,it must not have been difficult,0s II Conjunct Dubitative Preterit,it must not have been difficult
2154,pankissinsinookopanen,it must not have been falling,0s II Conjunct Dubitative Preterit,it must not have been falling
2155,miccaassinookopanen,they (inan.) must not have been big,0p II Independent Dubitative Preterit,they(plur.) must not have been big
2156,sanakassinookopanen,they (inan.) must not have been difficult,0p II Independent Dubitative Preterit,they(plur.) must not have been difficult
2157,pankissinsinookopanen,they (inan.) must not have fallen,0p II Independent Dubitative Preterit,they(plur.) must not have fallen
2158,meccaassinookwen,it must not be big,0s II Conjunct Dubitative,it must not be big
2159,senakassinookwen,it must not be difficult,0s II Conjunct Dubitative,it must not be difficult
2160,penkissinsinookwen,it must not be falling,0s II Conjunct Dubitative,it must not be falling
2161,miccaassinoon,it is not big,0s II Independent Indicative,it is not big
2162,sanakassinoon,it is not difficult,0s II Independent Indicative,it is not difficult
2163,pankissinsinoon,it does not fall,0s II Independent Indicative,it does not fall
2164,miccaassinoon,they (inan.) are not big,0p II Independent Indicative,they(plur.) are not big
2165,sanakassinoon,they (inan.) are not difficult,0p II Independent Indicative,they(plur.) are not difficult
2166,pankissinsinoon,they (inan.) do not fall,0p II Independent Indicative,they(plur.) do not fall
2167,miccaassinoopan,it was not big,0s II Independent Preterit,it was not big
2168,sanakassinoopan,it was not difficult,0s II Independent Preterit,it was not difficult
2169,pankissinsinoopan,it did not fall,0s II Independent Preterit,it did not fall
2170,miccaassinoopanen,they (inan.) were not big,0p II Independent Preterit,they(plur.) were not big
2171,sanakassinoopanen,they (inan.) were not difficult,0p II Independent Preterit,they(plur.) were not difficult
2172,pankissinsinoopanen,they (inan.) did not fall,0p II Independent Preterit,they(plur.) did not fall
2173,miccaassinotok,it must not be big,0s II Independent Dubitative,it must not be big
2174,sanakassinotok,it must not be difficult,0s II Independent Dubitative,it must not be difficult
2175,pankissinsinotok,it must not be falling,0s II Independent Dubitative,it must not be falling
2176,miccaassinotokenan,they (inan.) must not be big,0p II Independent Dubitative,they(plur.) must not be big
2177,sanakassinotokenan,they (inan.) must not be difficult,0p II Independent Dubitative,they(plur.) must not be difficult
2178,pankissinsinotokenan,they (inan.) must not be falling,0p II Independent Dubitative,they(plur.) must not be falling
2179,miicissiwaampaan,"I did not eat it, them (inan.)",1s→0 TI3 Conjunct Preterit,I did not eat it
2180,miicissiwaampaan,"I did not eat it, them (inan.)",1s→0 TI3 Conjunct Preterit,I did not eat them(plur.)
2181,maacaassiwaampaan,I did not leave,1s AI Conjunct Preterit,I did not leave
2182,waniššinsiwaampaan,I was not lost,1s AI Conjunct Preterit,I was not lost
2183,miicissiwaan,"I do not eat it, them (inan.)",1s→0 TI3 Conjunct Indicative,I do not eat it
2184,miicissiwaan,"I do not eat it, them (inan.)",1s→0 TI3 Conjunct Indicative,I do not eat them(plur.)
2185,maacaassiwaan,I do not leave,1s AI Conjunct Indicative,I do not leave
2186,waniššinsiwaan,I am not lost,1s AI Conjunct Indicative,I am not lost
2187,miicissiwaank,"we (excl.) do not eat it, them (inan.)",1p→0 TI3 Conjunct Indicative,we do not eat it
2188,miicissiwaank,"we (excl.) do not eat it, them (inan.)",1p→0 TI3 Conjunct Indicative,we do not eat them(plur.)
2189,maacaassiwaank,we (excl.) do not leave,1p AI Conjunct Indicative,we do not leave
