Southwestern Ojibwe,English(raw),Conjugation,English(formatted)
wanittoowaat,"they (anim.) lose it, them (inan.)",3p→0 TI2 Conjunct Indicative,"they(plur.) lose it, them (inan.)"
wanittoowaat,"they (anim.) lose it, them (inan.)",3p→0 TI2 Conjunct Indicative," lose it, them (inan.)"
wanittoowampanen,"you (sg.) must have lost it, them (inan.)",2s→0 TI2 Conjunct Dubitative Preterit,"you must have lost it, them (inan.)"
wanittoowampanen,"you (sg.) must have lost it, them (inan.)",2s→0 TI2 Conjunct Dubitative Preterit,"you must have lost it, them (inan.)"
wenittoowanen,"you (sg.) must be losing it, them (inan.)",2s→0 TI2 Conjunct Dubitative,"you must be losing it, them (inan.)"
wenittoowanen,"you (sg.) must be losing it, them (inan.)",2s→0 TI2 Conjunct Dubitative,"you must be losing it, them (inan.)"
wenittoowanken,"we (incl.) must be losing it, them (inan.)",21→0 TI2 Conjunct Dubitative,"we must be losing it, them (inan.)"
wenittoowanken,"we (incl.) must be losing it, them (inan.)",21→0 TI2 Conjunct Dubitative,"we must be losing it, them (inan.)"
wanittoowankipanen,"we (incl.) must have lost it, them (inan.)",21→0 TI2 Conjunct Dubitative Preterit,"we must have lost it, them (inan.)"
wanittoowankipanen,"we (incl.) must have lost it, them (inan.)",21→0 TI2 Conjunct Dubitative Preterit,"we must have lost it, them (inan.)"
wanittoowekipanen,"you (pl.) must have lost it, them (inan.)",2p→0 TI2 Conjunct Dubitative Preterit,"you must have lost it, them (inan.)"
wanittoowekipanen,"you (pl.) must have lost it, them (inan.)",2p→0 TI2 Conjunct Dubitative Preterit,"you must have lost it, them (inan.)"
wenittoowekwen,"you (pl.) must be losing it, them (inan.)",2p→0 TI2 Conjunct Dubitative,"you must be losing it, them (inan.)"
wenittoowekwen,"you (pl.) must be losing it, them (inan.)",2p→0 TI2 Conjunct Dubitative,"you must be losing it, them (inan.)"
wanittooyaampaan,"I lost it, them (inan.)",1s→0 TI2 Conjunct Preterit,"I lost it, them"
wanittooyaampaan,"I lost it, them (inan.)",1s→0 TI2 Conjunct Preterit,"I lost it, them"
wanittooyaan,"I lose it, them (inan.)",1s→0 TI2 Conjunct Indicative,"I lose it, them"
wanittooyaan,"I lose it, them (inan.)",1s→0 TI2 Conjunct Indicative,"I lose it, them"
wanittooyaank,"we (excl.) lose it, them (inan.)",1p→0 TI2 Conjunct Indicative,"we lose it, them (inan.)"
wanittooyaank,"we (excl.) lose it, them (inan.)",1p→0 TI2 Conjunct Indicative,"we lose it, them (inan.)"
wanittooyaankipan,"we (excl.) lost it, them (inan.)",1p→0 TI2 Conjunct Preterit,"we lost it, them (inan.)"
wanittooyaankipan,"we (excl.) lost it, them (inan.)",1p→0 TI2 Conjunct Preterit,"we lost it, them (inan.)"
wanittooyampan,"you (sg.) lost it, them (inan.)",2s→0 TI2 Conjunct Preterit,"you lost it, them (inan.)"
wanittooyampan,"you (sg.) lost it, them (inan.)",2s→0 TI2 Conjunct Preterit,"you lost it, them (inan.)"
wanittooyan,"you (sg.) lose it, them (inan.)",2s→0 TI2 Conjunct Indicative,"you lose it, them (inan.)"
wanittooyan,"you (sg.) lose it, them (inan.)",2s→0 TI2 Conjunct Indicative,"you lose it, them (inan.)"
wanittooyank,"we (incl.) lose it, them (inan.)",21→0 TI2 Conjunct Indicative,"we lose it, them (inan.)"
wanittooyank,"we (incl.) lose it, them (inan.)",21→0 TI2 Conjunct Indicative,"we lose it, them (inan.)"
wanittooyankipan,"we (incl.) lost it, them (inan.)",21→0 TI2 Conjunct Preterit,"we lost it, them (inan.)"
wanittooyankipan,"we (incl.) lost it, them (inan.)",21→0 TI2 Conjunct Preterit,"we lost it, them (inan.)"
wanittooyek,"you (pl.) lose it, them (inan.)",2p→0 TI2 Conjunct Indicative,"you lose it, them (inan.)"
wanittooyek,"you (pl.) lose it, them (inan.)",2p→0 TI2 Conjunct Indicative,"you lose it, them (inan.)"
wanittooyekipan,"you (pl.) lost it, them (inan.)",2p→0 TI2 Conjunct Preterit,"you lost it, them (inan.)"
wanittooyekipan,"you (pl.) lost it, them (inan.)",2p→0 TI2 Conjunct Preterit,"you lost it, them (inan.)"
miccaapan,it was big,0s II Independent Preterit,it was big
sanakatoopan,it was difficult,0s II Independent Preterit,it was difficult
pankissinoopan,it fell,0s II Independent Preterit,it fell
miccaapanen,they (inan.) were big,0p II Independent Preterit,they(plur.) were big
sanakatoopanen,they (inan.) were difficult,0p II Independent Preterit,they(plur.) were difficult
pankissinoopanen,they (inan.) fell,0p II Independent Preterit,they(plur.) fell
miicippan,"s/he ate it, them (inan.)",3s→0 TI3 Conjunct Preterit,"s/he ate it, them"
miicippan,"s/he ate it, them (inan.)",3s→0 TI3 Conjunct Preterit,"s/he ate it, them"
maacaappan,s/he left,3s AI Conjunct Preterit,they(sing.) left
waniššinkipan,s/he were lost,3s AI Conjunct Preterit,they(sing.) were lost
miicissiinikopan,"s/he, they (obv.) must not have ate it, them (inan.)",3'→0 TI3 Independent Dubitative Preterit,"they(plur.) must not have ate it, them (inan.)"
miicissiinikopan,"s/he, they (obv.) must not have ate it, them (inan.)",3'→0 TI3 Independent Dubitative Preterit,"they(sing.) must not have ate it, them (inan.)"
miicissiikopan,"s/he must not have ate it, them (inan.)",3s→0 TI3 Independent Dubitative Preterit,"s/he must not have ate it, them"
miicissiikopan,"s/he must not have ate it, them (inan.)",3s→0 TI3 Independent Dubitative Preterit,"s/he must not have ate it, them"
maacaassiikopan,s/he must not have left,3s AI Independent Dubitative Preterit,they(sing.) must not have left
waniššinsiikopan,s/he must not have been lost,3s AI Independent Dubitative Preterit,they(sing.) must not have been lost
miicissiikopanen,"s/he must not have ate it, them (inan.)",3s→0 TI3 Conjunct Dubitative Preterit,"s/he must not have ate it, them"
miicissiikopanen,"s/he must not have ate it, them (inan.)",3s→0 TI3 Conjunct Dubitative Preterit,"s/he must not have ate it, them"
maacaassiikopanen,s/he must not have left,3s AI Conjunct Dubitative Preterit,they(sing.) must not have left
waniššinsiikopanen,s/he must not have been lost,3s AI Conjunct Dubitative Preterit,they(sing.) must not have been lost
miicissiikwaapan,"they (anim.) must not have ate it, them (inan.)",3p→0 TI3 Independent Dubitative Preterit,"they(plur.) must not have ate it, them (inan.)"
miicissiikwaapan,"they (anim.) must not have ate it, them (inan.)",3p→0 TI3 Independent Dubitative Preterit," must not have ate it, them (inan.)"
maacaassiikwaapan,they (anim.) must not have left,3p AI Independent Dubitative Preterit,they(plur.) must not have left
waniššinsiikwaapan,they (anim.) must not have been lost,3p AI Independent Dubitative Preterit,they(plur.) must not have been lost
maacissiikwen,"s/he must not be eating it, them (inan.)",3s→0 TI3 Conjunct Dubitative,"s/he must not be eating it, them"
maacissiikwen,"s/he must not be eating it, them (inan.)",3s→0 TI3 Conjunct Dubitative,"s/he must not be eating it, them"
mayaacaassiikwen,s/he must not be leaving,3s AI Conjunct Dubitative,they(sing.) must not be leaving
weniššinsiikwen,s/he must not be lost,3s AI Conjunct Dubitative,they(sing.) must not be lost
maacaassiim,people do not leave,X AI Independent Indicative,people do not leave
niimissiim,people do not dance,X AI Independent Indicative,people do not dance
waniššinsiim,people are not lost,X AI Independent Indicative,people are not lost
maacaassiimwaapan,people did not leave,X AI Independent Preterit,people did not leave
waniššinsiimwaapan,people were not lost,X AI Independent Preterit,people were not lost
maacaassiin,s/he does not leave,3s AI Independent Indicative,FLAGthey(sing.) does not leave
niimissiin,s/he does not dance,3s AI Independent Indicative,FLAGthey(sing.) does not dance
waniššinsiin,s/he is not lost,3s AI Independent Indicative,FLAGthey(sing.) is not lost
maacaassiinikopan,"s/he, they (obv.) must not have left",3' AI Independent Dubitative Preterit,they(plur.) must not have left
maacaassiinikopan,"s/he, they (obv.) must not have left",3' AI Independent Dubitative Preterit,they(sing.) must not have left
waniššinsiinikopan,"s/he, they (obv.) must not have been lost",3' AI Independent Dubitative Preterit,they(plur.) must not have been lost
waniššinsiinikopan,"s/he, they (obv.) must not have been lost",3' AI Independent Dubitative Preterit,they(sing.) must not have been lost
miicissiinikopanen,"s/he, they (obv.) must not have ate it, them (inan.)",3'→0 TI3 Conjunct Dubitative Preterit,"they(plur.) must not have ate it, them (inan.)"
miicissiinikopanen,"s/he, they (obv.) must not have ate it, them (inan.)",3'→0 TI3 Conjunct Dubitative Preterit,"they(sing.) must not have ate it, them (inan.)"
maacaassiinikopanen,"s/he, they (obv.) must not have left",3' AI Conjunct Dubitative Preterit,they(plur.) must not have left
maacaassiinikopanen,"s/he, they (obv.) must not have left",3' AI Conjunct Dubitative Preterit,they(sing.) must not have left
waniššinsiinikopanen,"s/he, they (obv.) must not have been lost",3' AI Conjunct Dubitative Preterit,they(plur.) must not have been lost
waniššinsiinikopanen,"s/he, they (obv.) must not have been lost",3' AI Conjunct Dubitative Preterit,they(sing.) must not have been lost
maacissiinikwen,"s/he, they (obv.) must not be eating it, them (inan.)",3'→0 TI3 Conjunct Dubitative,"they(plur.) must not be eating it, them (inan.)"
maacissiinikwen,"s/he, they (obv.) must not be eating it, them (inan.)",3'→0 TI3 Conjunct Dubitative,"they(sing.) must not be eating it, them (inan.)"
mayaacaassiinikwen,"s/he, they (obv.) must not be leaving",3' AI Conjunct Dubitative,they(plur.) must not be leaving
mayaacaassiinikwen,"s/he, they (obv.) must not be leaving",3' AI Conjunct Dubitative,they(sing.) must not be leaving
weniššinsiinikwen,"s/he, they (obv.) must not be lost",3' AI Conjunct Dubitative,they(plur.) must not be lost
weniššinsiinikwen,"s/he, they (obv.) must not be lost",3' AI Conjunct Dubitative,they(sing.) must not be lost
maacaassiipan,s/he did not leave,3s AI Independent Preterit,they(sing.) did not leave
waniššinsiipan,s/he was not lost,3s AI Independent Preterit,they(sing.) was not lost
maacaassiipanek,they (anim.) did not leave,3p AI Independent Preterit,they(plur.) did not leave
waniššinsiipanek,they (anim.) were not lost,3p AI Independent Preterit,they(plur.) were not lost
maacaassiipanen,"s/he, they (obv.) did not leave",3' AI Independent Preterit,they(plur.) did not leave
maacaassiipanen,"s/he, they (obv.) did not leave",3' AI Independent Preterit,they(sing.) did not leave
waniššinsiipanen,"s/he, they (obv.) was/were not lost",3' AI Independent Preterit,they(plur.) was/were not lost
waniššinsiipanen,"s/he, they (obv.) was/were not lost",3' AI Independent Preterit,they(sing.) was/were not lost
miicissiiwaakopanen,"they (anim.) must not have ate it, them (inan.)",3p→0 TI3 Conjunct Dubitative Preterit,"they(plur.) must not have ate it, them (inan.)"
miicissiiwaakopanen,"they (anim.) must not have ate it, them (inan.)",3p→0 TI3 Conjunct Dubitative Preterit," must not have ate it, them (inan.)"
maacaassiiwaakopanen,they (anim.) must not have left,3p AI Conjunct Dubitative Preterit,they(plur.) must not have left
waniššinsiiwaakopanen,they (anim.) must not have been lost,3p AI Conjunct Dubitative Preterit,they(plur.) must not have been lost
maacissiiwaakwen,"they (anim.) must not be eating it, them (inan.)",3p→0 TI3 Conjunct Dubitative,"they(plur.) must not be eating it, them (inan.)"
maacissiiwaakwen,"they (anim.) must not be eating it, them (inan.)",3p→0 TI3 Conjunct Dubitative," must not be eating it, them (inan.)"
mayaacaassiiwaakwen,they (anim.) must not be leaving,3p AI Conjunct Dubitative,they(plur.) must not be leaving
weniššinsiiwaakwen,they (anim.) must not be lost,3p AI Conjunct Dubitative,they(plur.) must not be lost
miicissiiwaampaanen,"I must not have ate it, them (inan.)",1s→0 TI3 Conjunct Dubitative Preterit,"I must not have ate it, them"
miicissiiwaampaanen,"I must not have ate it, them (inan.)",1s→0 TI3 Conjunct Dubitative Preterit,"I must not have ate it, them"
maacaassiiwaampaanen,I must not have left,1s AI Conjunct Dubitative Preterit,I must not have left
waniššinsiiwaampaanen,I must not have been lost,1s AI Conjunct Dubitative Preterit,I must not have been lost
maacissiiwaanen,"I must not be eating it, them (inan.)",1s→0 TI3 Conjunct Dubitative,"I must not be eating it, them"
maacissiiwaanen,"I must not be eating it, them (inan.)",1s→0 TI3 Conjunct Dubitative,"I must not be eating it, them"
mayaacaassiiwaanen,I must not be leaving,1s AI Conjunct Dubitative,I must not be leaving
weniššinsiiwaanen,I must not be lost,1s AI Conjunct Dubitative,I must not be lost
maacissiiwaanken,"we (excl.) must not be eating it, them (inan.)",1p→0 TI3 Conjunct Dubitative,"we must not be eating it, them (inan.)"
maacissiiwaanken,"we (excl.) must not be eating it, them (inan.)",1p→0 TI3 Conjunct Dubitative,"we must not be eating it, them (inan.)"
mayaacaassiiwaanken,we (excl.) must not be leaving,1p AI Conjunct Dubitative,we must not be leaving
weniššinsiiwaanken,we (excl.) must not be lost,1p AI Conjunct Dubitative,we must not be lost
miicissiiwaankipanen,"we (excl.) must not have ate it, them (inan.)",1p→0 TI3 Conjunct Dubitative Preterit,"we must not have ate it, them (inan.)"
miicissiiwaankipanen,"we (excl.) must not have ate it, them (inan.)",1p→0 TI3 Conjunct Dubitative Preterit,"we must not have ate it, them (inan.)"
maacaassiiwaankipanen,we (excl.) must not have left,1p AI Conjunct Dubitative Preterit,we must not have left
waniššinsiiwaankipanen,we (excl.) must not have been lost,1p AI Conjunct Dubitative Preterit,we must not have been lost
maacaassiiwak,they (anim.) do not leave,3p AI Independent Indicative,they(plur.) do not leave
niimissiiwak,they (anim.) do not dance,3p AI Independent Indicative,they(plur.) do not dance
waniššinsiiwak,they (anim.) are not lost,3p AI Independent Indicative,they(plur.) are not lost
miicissiiwampanen,"you (sg.) must not have ate it, them (inan.)",2s→0 TI3 Conjunct Dubitative Preterit,"you must not have ate it, them (inan.)"
miicissiiwampanen,"you (sg.) must not have ate it, them (inan.)",2s→0 TI3 Conjunct Dubitative Preterit,"you must not have ate it, them (inan.)"
maacaassiiwampanen,you (sg.) must not have left,2s AI Conjunct Dubitative Preterit,you must not have left
waniššinsiiwampanen,you (sg.) must not have been lost,2s AI Conjunct Dubitative Preterit,you must not have been lost
maacaassiiwan,"s/he, they (obv.) leave(s)",3' AI Independent Indicative,they(plur.) leave(s)
maacaassiiwan,"s/he, they (obv.) leave(s)",3' AI Independent Indicative,they(sing.) leave(s)
niimissiiwan,"s/he, they (obv.) dance(s)",3' AI Independent Indicative,they(plur.) dance(s)
niimissiiwan,"s/he, they (obv.) dance(s)",3' AI Independent Indicative,they(sing.) dance(s)
waniššinsiiwan,"s/he, they (obv.) is/are not lost",3' AI Independent Indicative,they(plur.) is/are not lost
waniššinsiiwan,"s/he, they (obv.) is/are not lost",3' AI Independent Indicative,they(sing.) is/are not lost
maacissiiwanen,"you (sg.) must not be eating it, them (inan.)",2s→0 TI3 Conjunct Dubitative,"you must not be eating it, them (inan.)"
maacissiiwanen,"you (sg.) must not be eating it, them (inan.)",2s→0 TI3 Conjunct Dubitative,"you must not be eating it, them (inan.)"
mayaacaassiiwanen,you (sg.) must not be leaving,2s AI Conjunct Dubitative,you must not be leaving
weniššinsiiwanen,you (sg.) must not be lost,2s AI Conjunct Dubitative,you must not be lost
maacissiiwanken,"we (incl.) must not be eating it, them (inan.)",21→0 TI3 Conjunct Dubitative,"we must not be eating it, them (inan.)"
maacissiiwanken,"we (incl.) must not be eating it, them (inan.)",21→0 TI3 Conjunct Dubitative,"we must not be eating it, them (inan.)"
mayaacaassiiwanken,we (incl.) must not be leaving,21 AI Conjunct Dubitative,we must not be leaving
weniššinsiiwanken,we (incl.) must not be lost,21 AI Conjunct Dubitative,we must not be lost
miicissiiwankipanen,"we (incl.) must not have ate it, them (inan.)",21→0 TI3 Conjunct Dubitative Preterit,"we must not have ate it, them (inan.)"
miicissiiwankipanen,"we (incl.) must not have ate it, them (inan.)",21→0 TI3 Conjunct Dubitative Preterit,"we must not have ate it, them (inan.)"
maacaassiiwankipanen,we (incl.) must not have left,21 AI Conjunct Dubitative Preterit,we must not have left
waniššinsiiwankipanen,we (incl.) must not have been lost,21 AI Conjunct Dubitative Preterit,we must not have been lost
miicissiiwekipanen,"you (pl.) must not have ate it, them (inan.)",2p→0 TI3 Conjunct Dubitative Preterit,"you must not have ate it, them (inan.)"
miicissiiwekipanen,"you (pl.) must not have ate it, them (inan.)",2p→0 TI3 Conjunct Dubitative Preterit,"you must not have ate it, them (inan.)"
maacaassiiwekipanen,you (pl.) must not have left,2p AI Conjunct Dubitative Preterit,you must not have left
waniššinsiiwekipanen,you (pl.) must not have been lost,2p AI Conjunct Dubitative Preterit,you must not have been lost
maacissiiwekwen,"you (pl.) must not be eating it, them (inan.)",2p→0 TI3 Conjunct Dubitative,"you must not be eating it, them (inan.)"
maacissiiwekwen,"you (pl.) must not be eating it, them (inan.)",2p→0 TI3 Conjunct Dubitative,"you must not be eating it, them (inan.)"
mayaacaassiiwekwen,you (pl.) must not be leaving,2p AI Conjunct Dubitative,you must not be leaving
weniššinsiiwekwen,you (pl.) must not be lost,2p AI Conjunct Dubitative,you must not be lost
mayaacaassiiwiinken,people must not be leaving,X AI Conjunct Dubitative,people must not be leaving
weniššinsiiwiinken,people must not be lost,X AI Conjunct Dubitative,people must not be lost
maacaassiiwiinkipanen,people must not have left,X AI Conjunct Dubitative Preterit,people must not have left
waniššinsiiwiinkipanen,people must not have been lost,X AI Conjunct Dubitative Preterit,people must not have been lost
miicissik,"s/he does not eat it, them (inan.)",3s→0 TI3 Conjunct Indicative,"s/he does not eat it, them"
miicissik,"s/he does not eat it, them (inan.)",3s→0 TI3 Conjunct Indicative,"s/he does not eat it, them"
maacaassik,s/he does not leave,3s AI Conjunct Indicative,FLAGthey(sing.) does not leave
waniššinsik,s/he is not lost,3s AI Conjunct Indicative,FLAGthey(sing.) is not lost
miicissikopan,"s/he did not eat it, them (inan.)",3s→0 TI3 Conjunct Preterit,"s/he did not eat it, them"
miicissikopan,"s/he did not eat it, them (inan.)",3s→0 TI3 Conjunct Preterit,"s/he did not eat it, them"
maacaassikopan,s/he did not leave,3s AI Conjunct Preterit,they(sing.) did not leave
waniššinsikopan,s/he was not lost,3s AI Conjunct Preterit,they(sing.) was not lost
miicissikwaa,"they (anim.) do not eat it, them (inan.)",3p→0 TI3 Conjunct Indicative,"they(plur.) do not eat it, them (inan.)"
miicissikwaa,"they (anim.) do not eat it, them (inan.)",3p→0 TI3 Conjunct Indicative," do not eat it, them (inan.)"
maacaassikwaa,they (anim.) do not leave,3p AI Conjunct Indicative,they(plur.) do not leave
waniššinsikwaa,they (anim.) are not lost,3p AI Conjunct Indicative,they(plur.) are not lost
miicissikwaapan,"they (anim.) did not eat it, them (inan.)",3p→0 TI3 Conjunct Preterit,"they(plur.) did not eat it, them (inan.)"
miicissikwaapan,"they (anim.) did not eat it, them (inan.)",3p→0 TI3 Conjunct Preterit," did not eat it, them (inan.)"
maacaassikwaapan,they (anim.) did not leave,3p AI Conjunct Preterit,they(plur.) did not leave
waniššinsikwaapan,they (anim.) were not lost,3p AI Conjunct Preterit,they(plur.) were not lost
maacaassinik,"s/he, they (obv.) do not leave",3' AI Conjunct Indicative,they(plur.) do not leave
maacaassinik,"s/he, they (obv.) do not leave",3' AI Conjunct Indicative,they(sing.) do not leave
waniššinsinik,"s/he, they (obv.) are not lost",3' AI Conjunct Indicative,they(plur.) are not lost
waniššinsinik,"s/he, they (obv.) are not lost",3' AI Conjunct Indicative,they(sing.) are not lost
maacaassinikopan,"s/he, they (obv.) did not leave",3' AI Conjunct Preterit,they(plur.) did not leave
maacaassinikopan,"s/he, they (obv.) did not leave",3' AI Conjunct Preterit,they(sing.) did not leave
waniššinsinikopan,"s/he, they (obv.) were not lost",3' AI Conjunct Preterit,they(plur.) were not lost
waniššinsinikopan,"s/he, they (obv.) were not lost",3' AI Conjunct Preterit,they(sing.) were not lost
miccaassinini,it (obv.) is not big,0's II Independent Indicative,it is not big
sanakassinini,it (obv.) is not difficult,0's II Independent Indicative,it is not difficult
pankissinsinini,it (obv.) does not fall,0's II Independent Indicative,it does not fall
meccaassininiikwen,"it, they (obv.) must not be big",0' II Conjunct Dubitative,"it, they(plur.) must not be big"
meccaassininiikwen,"it, they (obv.) must not be big",0' II Conjunct Dubitative,"it,  must not be big"
senakassininiikwen,"it, they (obv.) must not be difficult",0' II Conjunct Dubitative,"it, they(plur.) must not be difficult"
senakassininiikwen,"it, they (obv.) must not be difficult",0' II Conjunct Dubitative,"it,  must not be difficult"
penkissinsininiikwen,"it, they (obv.) must not be falling",0' II Conjunct Dubitative,"it, they(plur.) must not be falling"
penkissinsininiikwen,"it, they (obv.) must not be falling",0' II Conjunct Dubitative,"it,  must not be falling"
miccaassininiipan,it (obv.) was not big,0's II Independent Preterit,it was not big
sanakassininiipan,it (obv.) was not difficult,0's II Independent Preterit,it was not difficult
pankissinsininiipan,it (obv.) did not fall,0's II Independent Preterit,it did not fall
miccaassininiipanen,"they (inan.,obv.) were not big",0'p II Independent Preterit,they(plur.) were not big
sanakassininiipanen,"they (inan.,obv.) were not difficult",0'p II Independent Preterit,they(plur.) were not difficult
pankissinsininiipanen,"they (inan.,obv.) did not fall",0'p II Independent Preterit,they(plur.) did not fall
miccaassininik,"it, they (obv.) is not big",0' II Conjunct Indicative,"it, they(plur.) is not big"
miccaassininik,"it, they (obv.) is not big",0' II Conjunct Indicative,"it,  is not big"
sanakassininik,"it, they (obv.) is not difficult",0' II Conjunct Indicative,"it, they(plur.) is not difficult"
sanakassininik,"it, they (obv.) is not difficult",0' II Conjunct Indicative,"it,  is not difficult"
pankissinsininik,"it, they (obv.) does not fall",0' II Conjunct Indicative,"it, they(plur.) does not fall"
pankissinsininik,"it, they (obv.) does not fall",0' II Conjunct Indicative,"it,  does not fall"
miccaassininikipan,"it, they (obv.) was not big",0' II Conjunct Preterit,"it, they(plur.) was not big"
miccaassininikipan,"it, they (obv.) was not big",0' II Conjunct Preterit,"it,  was not big"
sanakassininikipan,"it, they (obv.) was not difficult",0' II Conjunct Preterit,"it, they(plur.) was not difficult"
sanakassininikipan,"it, they (obv.) was not difficult",0' II Conjunct Preterit,"it,  was not difficult"
pankissinsininikipan,"it, they (obv.) did not fall",0' II Conjunct Preterit,"it, they(plur.) did not fall"
pankissinsininikipan,"it, they (obv.) did not fall",0' II Conjunct Preterit,"it,  did not fall"
miccaassininikopan,it (obv.) must not have been big,0's II Independent Dubitative Preterit,it must not have been big
sanakassininikopan,it (obv.) must not have been difficult,0's II Independent Dubitative Preterit,it must not have been difficult
pankissinsininikopan,it (obv.) must not have fallen,0's II Independent Dubitative Preterit,it must not have fallen
miccaassininiwan,"they (inan.,obv.) are not big",0'p II Independent Indicative,they(plur.) are not big
sanakassininiwan,"they (inan.,obv.) are not difficult",0'p II Independent Indicative,they(plur.) are not difficult
pankissinsininiwan,"they (inan.,obv.) do not fall",0'p II Independent Indicative,they(plur.) do not fall
miccaassininiwitok,it (obv.) must not be big,0's II Independent Dubitative,it must not be big
sanakassininiwitok,it (obv.) must not be difficult,0's II Independent Dubitative,it must not be difficult
pankissinsininiwitok,it (obv.) must not be falling,0's II Independent Dubitative,it must not be falling
miccaassininiwitokenan,"they (inan.,obv.) must not be big",0'p II Independent Dubitative,they(plur.) must not be big
sanakassininiwitokenan,"they (inan.,obv.) must not be difficult",0'p II Independent Dubitative,they(plur.) must not be difficult
pankissinsininiwitokenan,"they (inan.,obv.) must not be falling",0'p II Independent Dubitative,they(plur.) must not be falling
miicissinippan,"s/he, they (obv.) did not eat it, them (inan.)",3'→0 TI3 Conjunct Preterit,"they(plur.) did not eat it, them (inan.)"
miicissinippan,"s/he, they (obv.) did not eat it, them (inan.)",3'→0 TI3 Conjunct Preterit,"they(sing.) did not eat it, them (inan.)"
miicissinit,"s/he, they (obv.) do not eat it, them (inan.)",3'→0 TI3 Conjunct Indicative,"they(plur.) do not eat it, them (inan.)"
miicissinit,"s/he, they (obv.) do not eat it, them (inan.)",3'→0 TI3 Conjunct Indicative,"they(sing.) do not eat it, them (inan.)"
maacaassink,people do not leave,X AI Conjunct Indicative,people do not leave
waniššinsinink,people are not lost,X AI Conjunct Indicative,people are not lost
maacaassinkipan,people did not leave,X AI Conjunct Preterit,people did not leave
waniššinsinkipan,people were not lost,X AI Conjunct Preterit,people were not lost
miccaassinok,it is not big,0 II Conjunct Indicative,it is not big
sanakassinok,it is not difficult,0 II Conjunct Indicative,it is not difficult
pankissinsinok,it does not fall,0 II Conjunct Indicative,it does not fall
miccaassinookipan,it was not big,0s II Conjunct Preterit,it was not big
sanakassinookipan,it was not difficult,0s II Conjunct Preterit,it was not difficult
pankissinsinookipan,it did not fall,0s II Conjunct Preterit,it did not fall
miccaassinookopan,it must not have been big,0s II Independent Dubitative Preterit,it must not have been big
sanakassinookopan,it must not have been difficult,0s II Independent Dubitative Preterit,it must not have been difficult
pankissinsinookopan,it must not have fallen,0s II Independent Dubitative Preterit,it must not have fallen
miccaassinookopanen,it must not have been big,0s II Conjunct Dubitative Preterit,it must not have been big
sanakassinookopanen,it must not have been difficult,0s II Conjunct Dubitative Preterit,it must not have been difficult
pankissinsinookopanen,it must not have been falling,0s II Conjunct Dubitative Preterit,it must not have been falling
miccaassinookopanen,they (inan.) must not have been big,0p II Independent Dubitative Preterit,they(plur.) must not have been big
sanakassinookopanen,they (inan.) must not have been difficult,0p II Independent Dubitative Preterit,they(plur.) must not have been difficult
pankissinsinookopanen,they (inan.) must not have fallen,0p II Independent Dubitative Preterit,they(plur.) must not have fallen
meccaassinookwen,it must not be big,0s II Conjunct Dubitative,it must not be big
senakassinookwen,it must not be difficult,0s II Conjunct Dubitative,it must not be difficult
penkissinsinookwen,it must not be falling,0s II Conjunct Dubitative,it must not be falling
miccaassinoon,it is not big,0s II Independent Indicative,it is not big
sanakassinoon,it is not difficult,0s II Independent Indicative,it is not difficult
pankissinsinoon,it does not fall,0s II Independent Indicative,it does not fall
miccaassinoon,they (inan.) are not big,0p II Independent Indicative,they(plur.) are not big
sanakassinoon,they (inan.) are not difficult,0p II Independent Indicative,they(plur.) are not difficult
pankissinsinoon,they (inan.) do not fall,0p II Independent Indicative,they(plur.) do not fall
miccaassinoopan,it was not big,0s II Independent Preterit,it was not big
sanakassinoopan,it was not difficult,0s II Independent Preterit,it was not difficult
pankissinsinoopan,it did not fall,0s II Independent Preterit,it did not fall
miccaassinoopanen,they (inan.) were not big,0p II Independent Preterit,they(plur.) were not big
sanakassinoopanen,they (inan.) were not difficult,0p II Independent Preterit,they(plur.) were not difficult
pankissinsinoopanen,they (inan.) did not fall,0p II Independent Preterit,they(plur.) did not fall
miccaassinotok,it must not be big,0s II Independent Dubitative,it must not be big
sanakassinotok,it must not be difficult,0s II Independent Dubitative,it must not be difficult
pankissinsinotok,it must not be falling,0s II Independent Dubitative,it must not be falling
miccaassinotokenan,they (inan.) must not be big,0p II Independent Dubitative,they(plur.) must not be big
sanakassinotokenan,they (inan.) must not be difficult,0p II Independent Dubitative,they(plur.) must not be difficult
pankissinsinotokenan,they (inan.) must not be falling,0p II Independent Dubitative,they(plur.) must not be falling
miicissiwaampaan,"I did not eat it, them (inan.)",1s→0 TI3 Conjunct Preterit,"I did not eat it, them"
miicissiwaampaan,"I did not eat it, them (inan.)",1s→0 TI3 Conjunct Preterit,"I did not eat it, them"
maacaassiwaampaan,I did not leave,1s AI Conjunct Preterit,I did not leave
waniššinsiwaampaan,I was not lost,1s AI Conjunct Preterit,I was not lost
miicissiwaan,"I do not eat it, them (inan.)",1s→0 TI3 Conjunct Indicative,"I do not eat it, them"
miicissiwaan,"I do not eat it, them (inan.)",1s→0 TI3 Conjunct Indicative,"I do not eat it, them"
maacaassiwaan,I do not leave,1s AI Conjunct Indicative,I do not leave
waniššinsiwaan,I am not lost,1s AI Conjunct Indicative,I am not lost
miicissiwaank,"we (excl.) do not eat it, them (inan.)",1p→0 TI3 Conjunct Indicative,"we do not eat it, them (inan.)"
